,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gpt35,rouge_1_f1_gpt35,rouge_2_f1_gpt35,rouge_l_f1_gpt35,page_match
10,What should you do to prevent the person from attempting to remove the object and blowing their nose?,Prevent the person from attempting to remove the object and from blowing their nose.,"To prevent someone from attempting to remove the object and blowing their nose, you should encourage them to sit upright and not interfere with their coughing if they are able to cough forcefully. Additionally, you should monitor their condition until the obstruction clears itself or their condition worsens. If the person is unable to cough forcefully, call EMS/9-1-1 immediately and closely monitor their condition.",101,"['47', '101', '45']",0.63950276,0.33898304760700954,0.2253521096845864,0.33898304760700954,1
11,What is the recommended compression depth for adults during CPR?,"When providing CPR to an adult, you should perform compressions with a depth of at least 5 cm (about 2 in.), but avoid excessive depths greater than 6 cm (about 2.5 in.).","The recommended compression depth for adults during CPR is at least 5 cm (about 2 in.), while avoiding excessive depths greater than 6 cm (about 2.5 in.). It is more important to push deeply and push steadily than to worry about pushing too deeply.",70,"['70', '71']",0.9258234,0.5074626816217421,0.3947368372299169,0.4776119353530853,1
12,Why are children more vulnerable to injury?,Children are more vulnerable to injury because their bodies are more susceptible to injury and they are typically less aware of risks and hazards in their environments.,"Children are more vulnerable to injury because their bodies are still developing and they may not have fully developed coordination or judgment. Additionally, their bones are still growing and may be more susceptible to fractures or other injuries.",196,"['182', '112', '113']",0.77019346,0.4897959135360267,0.39999999520000007,0.4897959135360267,0
13,What care should be taken for any life threatening conditions?,Care for any life-threatening conditions should be given first.,"The care that should be taken for any life-threatening conditions includes providing immediate care in the following situations:
- If the person is choking or experiencing anaphylaxis and carrying epinephrine
- If the person has life-threatening bleeding
- If the person is an unresponsive child or baby who is not breathing

In these cases, providing immediate care is the highest priority, and you should call EMS/9-1-1 as soon as possible.",34,"['29', '16', '33']",0.62680876,0.21052631313019393,0.11764705674740487,0.17543859383194835,0
14,What are the symptoms of hyperglycemia?,"With hyperglycemia, the body cells cannot get the sugar they need, causing waste products to build up in the body and making the person ill. This may also cause the person's breath to have a fruity or sweet odor.","The symptoms of hyperglycemia include changes in the level of responsiveness, changes in behavior such as confusion or irritability, rapid breathing, cool and sweaty skin, skin that is paler than normal, appearance of intoxication (e.g. slurred speech, difficulty walking), feeling and looking ill, and seizures.",131,"['131', '132']",0.57195,0.1095890361418655,0.024691353062034228,0.1095890361418655,1
15,Where should you keep your first aid kit?,In your home and vehicle,"You should keep your first aid kit in your home and vehicle, and ensure that you know the location of the first aid kit in your workplace. It's also important to make sure everyone in your family knows where the first aid kit is and what is in it.",12,"['12', '13']",0.42511255,0.16216215982468957,0.09090908925619837,0.16216215982468957,1
16,What should you do if someone is experiencing life-threatening bleeding?,"If someone is experiencing life-threatening bleeding, you should have the person rest in a comfortable position. If the person prefers to lie down, or is unresponsive, drooling, or having trouble swallowing, place the person in the recovery position. Call EMS/9-1-1 and get an AED. Monitor the person's condition and provide reassurance until EMS personnel arrive.","If someone is experiencing life-threatening bleeding, you should call EMS/9-1-1 and get an AED. While waiting for EMS personnel, help the injured person rest in the most comfortable position and provide continual care. If the bleeding is external, you can apply firm and direct pressure to the wound, then apply a dressing and bandage, and secure them in place. If the pressure does not stop the bleeding, consider using a tourniquet if the wound is on a limb. If the bleeding is internal, you cannot provide first aid as a First Aider, and the injured person will require in-hospital medical intervention.",59,"['62', '60', '29']",0.7370389,0.4285714238408801,0.23287670774254088,0.37499999526945155,0
17,What are the signs of infection in a puncture wound?,"Signs of infection in a puncture wound may include bleeding, bruising, and a hole where the object went through the skin.","Signs of infection in a puncture wound may include bleeding, bruising, and a hole where the object went through the skin.",92,"['92', '91']",0.99999994,0.999999995,0.999999995,0.999999995,1
18,What should you do if a child or baby suffers a seizure during a high fever?,"If a child or baby suffers a seizure during a high fever, follow the care steps for febrile seizures.","Call EMS/9-1-1 for a febrile seizure if:
• It is the first time that the child or baby has had a febrile seizure.
• The seizure lasts longer than 5 minutes or is repeated.
• The seizure is followed by a quick increase in body temperature.",193,"['193', '136']",0.73739564,0.31999999551200004,0.06779660592933093,0.23999999551200007,1
19,How can you approach medical advice in the marine environment?,"In a marine environment, medical advice can be accessed through:
1. Mobile phone.
2. Radiotelephone contact with a shore radio station.
3. Radiotelephone contact with a nearby port or ship with a doctor on board.","In a marine environment, you may need to contact a doctor and request advice on providing care, even if it is outside of your training. You can access medical advice through a mobile phone, radiotelephone contact with a shore radio station, or radiotelephone contact with a nearby port or ship with a doctor on board. When contacting the doctor, be sure to provide routine information about the ship, routine information about the person, details of the illness/injury, findings from your secondary assessment, and the care rendered and the person’s response to that care. Additionally, Transport Canada provides a reference regarding radiotelephone procedures (TP 9878E: Safety and Distress Radiotelephone Procedures), which should be displayed next to your vessel’s radiotelephone.",33,"['33', '34', '114']",0.8316189,0.36363635984132237,0.23188405456836803,0.327272723477686,1
20,What precautions should you take when drinking alcohol?,Drink responsibly. Alcohol is often a factor in serious motor vehicle collisions and water injuries. Alcohol slows down your reflexes and gives you a false feeling of confidence.,"When drinking alcohol, it is important to take personal precautions to reduce the risk of harm. This includes drinking in moderation, knowing your limits, and never driving under the influence. It is also important to be aware of the potential risks and effects of alcohol consumption, and to seek help if you or someone else experiences alcohol poisoning.",114,"['23', '161']",0.5222019,0.17142856683673485,0.0,0.14285713826530627,0
21,What determines the severity of an allergic reaction?,The severity of an allergic reaction depends on the person.,"The severity of an allergic reaction is determined by the person's immune system's response to the allergen. When the body is exposed to the allergen, antibodies release immune system chemicals, such as histamine, that cause allergy symptoms. The reaction can range from mild to very severe, and it depends on the individual.",84,"['86', '85', '84']",0.7304137,0.34615384304733726,0.23728813300775642,0.34615384304733726,1
22,What is the role of cholesterol in cardiovascular disease?,"Cholesterol can build up in the bloodstream and stick to the blood vessel walls, narrowing the blood vessels and reducing blood flow. This can lead to cardiovascular disease.","Cholesterol plays a role in cardiovascular disease by contributing to the buildup of plaque on the inner artery walls, leading to a narrowing of the blood vessels and reduced blood flow. This buildup of plaque can increase the risk of artery blockages, which can cause circulation emergencies such as angina, heart attacks, transient ischemic attacks (TIAs), and strokes.",54,"['54', '55', '57']",0.863655,0.43076922639526627,0.172839501813748,0.43076922639526627,1
23,What are some ways to prevent frostbite?,"Some tips to prevent frostbite include never ignoring numbness, covering up vulnerable areas, wearing mittens instead of gloves, maximizing foot insulation, wearing clothing in layers, keeping well hydrated, and keeping clothing dry and changing out of wet clothing as soon as possible.","Some ways to prevent frostbite include:
- Never ignore numbness and take steps to warm extremities immediately
- Cover up vulnerable areas such as the cheeks, nose, and ears with appropriate clothing
- Wear mittens instead of gloves for better insulation
- Maximize foot insulation without a tight fit around the toes
- Wear clothing in layers and adjust as necessary to avoid overheating and sweating
- Keep well hydrated and clothing dry, changing out of wet clothing as soon as possible",149,"['149', '151']",0.9395523,0.4166666620334202,0.23140495419711773,0.4166666620334202,1
24,Where should you ride when using a sex bike?,In low-traffic areas.,"When using a bicycle, you should ride in a straight line when going down a road or street. Do not swerve between parked cars or onto driveways. Always look and signal in plenty of time before turning. Also, make sure to wear bright clothes, even during the day, to make it easier for motorists to see you. And remember not to ride a bicycle after dark.",197,"['200', '197']",0.37429273,0.0,0.0,0.0,1
25,What is Hypothermia?,A person dressed appropriately for the weather conditions will take 30 minutes or more to become mildly hypothermic.,"Hypothermia occurs when the body's core temperature drops to 35°C (95°F) or lower, becoming life-threatening when it drops below 28°C (82.4°F). It can be caused by exposure to cold, wet, and windy conditions, cold-water immersion, dehydration, and certain medications. Prevention includes wearing appropriate clothing, staying dry, consuming high-energy foods and warm drinks, and taking frequent breaks from the cold. Symptoms of hypothermia range from shivering and decreased physical function in mild cases to unresponsiveness and slowed breathing in severe cases. The body's core temperature is normally around 37°C (98.6°F) and is regulated by the hypothalamus in the brain, which controls thermoregulation to maintain an ideal temperature.",155,"['151', '141']",0.6824779,0.05882352650519045,0.0,0.03921568336793563,0
26,Should security gates be replaced with permanent surveillance?,"No, safety gates are not a substitute for constant supervision. Always monitor children closely, even if a safety gate is in place.","No, security gates should not be replaced with permanent surveillance. Always monitor children closely, even if a safety gate is in place.",198,"['198', '26']",0.8586172,0.7142857092970523,0.5238095188095239,0.7142857092970523,1
27,What should you do if a glucometer is available?,Having the person check his or her blood sugar will reveal whether he or she has hyper- or hypoglycemia.,"If a glucometer is available, have the person check their blood sugar to determine if they have hyper- or hypoglycemia.",133,"['133', '131']",0.8165799,0.44444443945987655,0.2702702652739226,0.44444443945987655,1
28,What are signs and symptoms of a foreign object in the nose?,"An object in the nose may be visible, and may also cause unusual noises when the person breathes through his or her nose, bleeding, and nose deformity.","Signs and symptoms of a foreign object in the nose may include unusual noises when breathing through the nose, bleeding, and nose deformity.",101,"['104', '101', '105']",0.86951923,0.6046511578150352,0.4166666617013889,0.6046511578150352,1
29,What routine information about the person should be prepared?,Routine information about the person should be prepared.,"The routine information about the person that should be prepared includes their date of birth, health card numbers, medical conditions, allergies, and prescriptions and dosages. It is also important to list the names and phone numbers of their doctors.",34,"['13', '34', '43']",0.6176735,0.3333333302494332,0.22222221959506175,0.3333333302494332,1
30,What is the first aid under the Samaritan laws?,"A First Aider is required to use common sense and a reasonable level of skill, as well as provide only the type of emergency care that is within their training. They should act in the same manner as a 'reasonable and prudent person' would in the same situation.","The first aid under the Samaritan laws includes using common sense and a reasonable level of skill, providing only the type of emergency care that is within your training, moving a person only if their life is in danger, asking for permission before giving care, checking for life-threatening conditions, calling EMS/9-1-1, and continuing to give care until more highly trained personnel take over.",16,"['16', '18']",0.63937557,0.40860214570470577,0.2803738269019129,0.36559139301653376,1
31,Is it true that a person with a suspected stroke does not need medical attention if their signs and symptoms dissipate?,"No, it is not true. TIA signs and symptoms will disappear within a few hours, but the person still needs to be checked by a medical professional. TIAs are warning signs and are often quickly followed by strokes. Always call EMS/9-1-1 if the person has demonstrated signs and symptoms of a TIA or stroke, even if the signs and symptoms have lessened in severity or disappeared completely.","Yes, even if the signs and symptoms of a suspected stroke dissipate, the person still needs to seek medical attention. This is because transient ischemic attacks (TIAs) are warning signs and are often quickly followed by strokes. It is important to call EMS/9-1-1 immediately if someone has demonstrated signs and symptoms of a TIA or stroke, even if the signs and symptoms have lessened in severity or disappeared completely.",59,"['59', '58']",0.85758716,0.6868686818691971,0.5641025591029294,0.6868686818691971,1
32,What are the international hazard symbols used for?,The international hazard symbols on product labels make it easier to identify harmful materials.,"The international hazard symbols are used to identify harmful materials. They are found on product labels and help to indicate if a material is flammable, toxic, explosive, or corrosive.",160,"['160', '26']",0.83987254,0.5365853613563355,0.3902438981082689,0.5365853613563355,1
33,What is the responsibility of every adult in Canada regarding child abuse or neglect?,"Every adult in Canada has a legal duty to report child abuse or neglect, even if it is not confirmed. If you are responding to a first aid emergency and you think a child is being harmed, then there needs to be a report to child protection and/or police. Even if you are unsure, child protection needs to be informed and needs to guide the next steps. Also share your concerns with the EMS personnel who respond to the situation.","Every adult in Canada has a legal duty to report child abuse or neglect, even if it is not confirmed. This duty to report is uniform in all acts and is outlined in your jurisdiction’s Child Protection Act. If you are responding to a first aid emergency and you suspect that a child is being harmed, you must report it to child protection and/or the police, even if you are unsure. It is important to also share your concerns with the EMS personnel who respond to the situation.",17,"['17', '18']",0.967832,0.7368421002693138,0.611464963169297,0.7368421002693138,1
34,Why don't you allow a woman to give birth?,Do not let the woman leave to use the restroom.,"We don't allow a woman to leave to use the restroom during childbirth because there is a risk of her delivering the baby into the toilet, which could put the baby at risk for injury.",139,"['139', '45']",0.6572441,0.324324320642805,0.1904761871088436,0.324324320642805,1
35,What precautions should I take when drinking alcohol?,Drink responsibly. Alcohol is often a factor in serious motor vehicle collisions and water injuries. Alcohol slows down your reflexes and gives you a false feeling of confidence.,"When drinking alcohol, it is important to take precautions to prevent any negative effects. Some precautions to consider include drinking in moderation, avoiding drinking and driving, and being aware of the potential interactions between alcohol and any medications you may be taking. It is also important to stay hydrated and to eat before and while drinking to help reduce the risk of alcohol-related health issues.",114,"['23', '161']",0.52152145,0.13888888435571003,0.0,0.11111110657793229,0
36,How long is chickenpox contagious?,"Chickenpox is most contagious 1 to 2 days before the rash appears, and for approximately 5 days after onset, or until the lesions have become crusted.","Chickenpox is most contagious 1 to 2 days before the rash appears, and for approximately 5 days after onset, or until the lesions have become crusted.",188,"['188', '193', '185']",1.0,0.999999995,0.999999995,0.999999995,1
37,When should you first care?,"You should provide care first in the following situations:
1. The person is choking or is experiencing anaphylaxis and carrying epinephrine.
2. The person has life-threatening bleeding.
3. The person is an unresponsive child or baby who is not breathing.","You should provide care first in the following situations:
1. The person is choking or experiencing anaphylaxis and carrying epinephrine.
2. The person has life-threatening bleeding.
3. The person is an unresponsive child or baby who is not breathing.
4. If someone suddenly becomes unresponsive and then ""comes to"" after about a minute, they may have simply fainted. If you suspect that the person fainted as a result of a serious injury or illness, call EMS/9-1-1 and get an AED.",33,"['33', '130', '35']",0.75775033,0.6808510593390675,0.6071428527806123,0.6808510593390675,1
38,How quickly does it grow after infection?,"Croup develops more gradually, from 24 to 72 hours after infection.",The information provided does not specify the growth rate of infections.,191,"['90', '23', '183']",0.14940396,0.0,0.0,0.0,0
39,What determines the severity of an allergic reaction?,The severity of an allergic reaction depends on the person.,"The severity of an allergic reaction is determined by the person's immune system's response to the allergen. When the body is exposed to the allergen, antibodies release immune system chemicals, such as histamine, that cause allergy symptoms. The reaction can range from mild to very severe, and the severity depends on the individual.",84,"['86', '85', '84']",0.73285663,0.35294117331795466,0.23333333078333335,0.35294117331795466,1
40,What are the common types of seizures?,"Common types of seizures include tonic-clonic or convulsive seizures, absence seizures, and focal or partial seizures.","The common types of seizures include tonic-clonic or convulsive seizures, absence seizures, and focal or partial seizures.",134,"['134', '136']",0.99749345,0.8888888838957477,0.9032258014568159,0.8888888838957477,1
41,What is environmental illness?,The information provided does not include details about environmental illness.,"Environmental illness, also known as multiple chemical sensitivity or sick building syndrome, refers to a range of health problems caused by exposure to environmental factors such as chemicals, toxins, and pollutants. These can include symptoms such as headaches, dizziness, fatigue, and respiratory issues, and can be triggered by exposure to substances in the air, water, or food.",157,"['166', '159', '163']",0.30610734,0.07142856849489808,0.0,0.07142856849489808,0
42,What do you remember the first time you help someone with speech or language impairment?,"Ask questions that can be answered with 'Yes' or 'No', give the person time to communicate, and wait for the person to finish speaking.","The first time I helped someone with speech or language impairment, I remember using straightforward language when communicating, asking questions that could be answered with ""Yes"" or ""No,"" and giving the person time to communicate and answer my questions. I also made sure to wait for the person to finish speaking and not try to finish their sentences.",43,"['43', '42']",0.53433526,0.46874999559082037,0.2857142816326531,0.46874999559082037,1
43,What should you have to cover an injured eye?,Eye patches,Cover the injured eye with gauze or another light material.,12,"['103', '104']",0.6813993,0.0,0.0,0.0,0
44,How can you make your workplace clean and tidy?,"Make sure that your workplace is clean and tidy. Keep floors and aisles uncluttered and make sure that there is nothing blocking stairways, work sites, or exits.","To make your workplace clean and tidy, ensure that floors and aisles are uncluttered and free of any obstructions. Additionally, make sure that there is nothing blocking stairways, work sites, or exits. It's also important to label all toxic substances and have a detailed Material Safety Data Sheet (MSDS) available for every hazardous substance in the workplace. Finally, ensure that workers who might be exposed to hazardous materials receive proper training in safety measures and emergency procedures.",114,"['114', '23', '161']",0.5985329,0.4367816054168319,0.31999999625000003,0.4367816054168319,1
45,Do gloves eliminate the need for proper hygiene?,"No, wearing gloves helps to protect you from infection, but it does not eliminate the need for proper hygiene. First Aiders should always wash their hands thoroughly when they have finished giving care, even if they wore gloves the entire time.","No, gloves do not eliminate the need for proper hygiene. It is important to always wash your hands thoroughly with soap and water for at least 30 seconds, using the proper handwashing technique, even if you wore gloves while providing care. Gloves should be worn as a protective barrier, but proper hygiene, including handwashing, is still necessary to prevent the spread of germs and infections.",23,"['23', '25', '24']",0.8009809,0.42553191007695795,0.1923076875739646,0.40425531433227707,1
46,When do you want a person from face to face position?,"You should roll a person from a face-down to a face-up position if they are unresponsive, not breathing, or if the face-down position makes it impossible to check the person's ABCs.",You should roll a person into the recovery position if they are unresponsive or have an altered level of responsiveness. This is to help protect their airway and should be done before providing care for any life-threatening conditions.,32,"['39', '101', '34']",0.62515485,0.3934426181779092,0.208955218935175,0.36065573293200753,0
47,What are the common causes of shortness of breath?,"Some common causes of respiratory distress include hyperventilation, asthma or chronic obstructive pulmonary disease (COPD), pneumonia or bronchitis, allergic reactions, anaphylaxis, heart attack or heart failure, chest trauma, poisoning, drug overdose, electrocution, and certain mental health conditions.","Common causes of shortness of breath include hyperventilation, asthma or chronic obstructive pulmonary disease (COPD), pneumonia or bronchitis, an allergic reaction, anaphylaxis, a heart attack or heart failure, chest trauma, poisoning, a drug overdose, electrocution, and certain mental health conditions such as panic disorders.",80,"['190', '80', '81']",0.7922212,0.794520542968662,0.6582278431405224,0.794520542968662,1
48,When should I use hemostatic agents?,Hemostatic dressings are used in cases of life-threatening bleeding where standard first aid procedures fail or are not practical.,"Hemostatic agents should be used in cases of life-threatening bleeding where standard first aid procedures fail or are not practical. They are typically used on parts of the body where a tourniquet cannot be applied, such as the neck or torso. Additionally, a hemostatic dressing can be used to control bleeding from an open wound on an arm or leg if a tourniquet is ineffective.",62,"['36', '62', '60']",0.8000651,0.5074626826375586,0.3749999965125001,0.5074626826375586,1
49,Is first aid for both types of diabetes the same?,"Yes, first aid is the same for both types of diabetic emergencies (hyperglycemia and hypoglycemia).","Yes, first aid for both types of diabetes is the same.",132,"['132', '42', '133']",0.8041874,0.7692307643491124,0.5833333284722223,0.5384615335798818,1
50,What should you do if there is a chemical or caustic substance in the eye?,"If there is a chemical or caustic substance in the eye, gently flush the eye with running water (away from the unaffected eye) for at least 15 minutes, or until EMS personnel arrive.","Gently flush the eye with running water (away from the unaffected eye) for at least 15 minutes, or until EMS personnel arrive.",103,"['103', '97']",0.90758955,0.7843137206459054,0.7547169763474547,0.7843137206459054,1
51,How can high blood pressure be controlled?,"High blood pressure can be controlled with exercise, diet control, stress reduction, and medication.","High blood pressure can be controlled with exercise, diet control, stress reduction, and medication.",55,"['55', '54']",1.0,0.999999995,0.999999995,0.999999995,1
52,How many breaths should you give?,Give 2 breaths.,"For a baby, you should give 2 breaths. Each breath should last 1 second, with just enough volume to make the chest start to rise. If both breaths go in, repeat the cycle of 30 compressions and 2 breaths.",67,"['68', '69', '67']",0.7016475,0.11111110958333334,0.05128205030900725,0.11111110958333334,1
53,What is a puncture wound?,"A puncture wound occurs when a hole in the skin is created by a pointed object, such as nails, pieces of glass, and animal teeth.","A puncture wound occurs when a pointed object, such as nails, pieces of glass, or animal teeth, creates a hole in the skin.",92,"['92', '108']",0.98505706,0.826086951531191,0.7391304297920607,0.6521739080529302,1
54,What should you do when considering second-hand equipment or toys?,"When considering second-hand equipment or toys, first check the label and contact Health Canada to find out if there has been a recall or safety alert on that specific model.","When considering second-hand equipment or toys, first check the label and contact Health Canada to find out if there has been a recall or safety alert on that specific model. Always follow the manufacturer’s directions for safe use and discard broken equipment and toys immediately.",196,"['196', '198']",0.93918395,0.8405797052720017,0.7945205431563145,0.8405797052720017,1
55,Where is poison ivy found?,All provinces except Newfoundland and Labrador,"Poison ivy is found in all the provinces except Newfoundland and Labrador, but it has not been reported in any of the territories.",167,"['165', '167']",0.52744144,0.2962962928395062,0.22222221920438956,0.2962962928395062,1
56,What areas should you prioritize when conducting a hands-on check?,"When conducting a hands-on check, you should prioritize checking the head, chest, abdomen, and legs before checking the arms.","When conducting a hands-on check, you should prioritize checking the head, chest, abdomen, and legs before checking the arms. This prioritizes the areas that are more prone to life-threatening bleeding and organ damage.",39,"['39', '29']",0.9214437,0.7391304301228733,0.7083333287586806,0.7391304301228733,1
57,What should you do after each compression?,Allow the chest to fully recoil.,"After each compression, you should look in the person's mouth and remove any visible objects if possible. If the breath does not go in after the first attempt, reposition the head to adjust the airway and attempt to give another breath. If the second breath does not go in, begin the CPR sequence again with 30 chest compressions.",66,"['67', '68', '69']",0.4334544,0.12244897744273221,0.0,0.12244897744273221,0
58,How should you care for full-thickness burns?,"Stop the burn from worsening by cooling the affected area with clean running or standing water for at least 10 minutes. Remove jewellery and clothing from the burn site. Cover the burn loosely with a dry, sterile dressing. Have the person lie down until EMS personnel arrive.","To care for full-thickness burns, you should first stop the burn from worsening by cooling the affected area with clean running or standing water for at least 10 minutes. A clean, cool or cold compress can also be used as a substitute. Remove any jewelry and clothing from the burn site, but do not attempt to move anything that is stuck to the skin. Once it is cool, cover the burn loosely with a dry, sterile dressing, preferably non-stick gauze. Have the person lie down until EMS personnel arrive.",97,"['98', '96', '97']",0.8912022,0.5964912235687904,0.538461533983432,0.5964912235687904,1
59,How can fainting be prevented?,"To prevent fainting, it is important to stay hydrated, eat at regular intervals to maintain a consistent blood sugar level, and get up slowly from sitting or lying down.","Fainting can be prevented by keeping hydrated, eating at regular intervals to maintain consistent blood sugar levels, and getting up slowly from sitting or laying down.",130,"['130', '145', '74']",0.9212562,0.5925925875994514,0.37735848558205776,0.5925925875994514,1
60,What should you do if the AED fails to work properly or warning indicators appear?,"If the AED fails to work properly or warning indicators appear, you should take the AED out of service and contact the manufacturer or the appropriate person at your place of employment. You may need to return the AED to the manufacturer for service. If the AED stops working during an emergency, continue giving CPR until EMS personnel take over.","If the AED fails to work properly or warning indicators appear, take the AED out of service and contact the manufacturer or the appropriate person at your place of employment according to your employer’s policy. You may need to return the AED to the manufacturer for service. If the AED stops working during an emergency, continue giving CPR until EMS personnel take over.",78,"['78', '74']",0.9874716,0.9425287306328446,0.9009008959045532,0.9425287306328446,1
61,What are some mental health conditions that people may be suffering from?,"People in distress may be suffering from a number of mental health disorders including substance-related disorders, mood disorders, anxiety disorders, or psychotic disorders.","Some mental health conditions that people may be suffering from include substance-related disorders, mood disorders, anxiety disorders, and psychotic disorders. These conditions can manifest in symptoms such as inability to think clearly, inability to concentrate or focus, hallucinations, delusions, depression or acute mood swings, poor memory, and lack of motivation.",136,"['136', '137']",0.8059032,0.48387096337148805,0.28571428140408167,0.38709676982310093,1
62,How can wearing helmets reduce the risk of head injuries?,Wearing helmets can reduce the risk of a serious or fatal head injury by up to 80%.,"Wearing helmets can reduce the risk of a serious or fatal head injury by up to 80%. This is because helmets provide cushioning and protection for the brain, which can help absorb the impact of a blow to the head and reduce the severity of any resulting injury.",200,"['200', '113']",0.9321114,0.6666666622222223,0.5245901600644989,0.6666666622222223,1
63,What can TIA do?,A TIA may be caused by a tumor or a clot in an artery in the brain.,"A transient ischemic attack (TIA) can cause temporary signs and symptoms similar to a stroke, such as sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, difficulty speaking or understanding speech, and sudden loss of coordination. These signs and symptoms typically disappear within a few minutes or hours. However, a TIA is a warning sign that the person is at a very high risk of having a stroke in the near future. In fact, more than 10% of people who have a TIA will have a stroke within 3 months, with half of these strokes happening within 48 hours of the TIA. Therefore, it is important to seek medical attention and take preventive measures after experiencing a TIA.",59,"['58', '59', '57']",0.6371601,0.11650485188047888,0.015037591868393088,0.11650485188047888,1
64,What is hypothermia?,Hypothermia occurs when the body’s core temperature drops to 35°C (95°F) or lower. It becomes life-threatening when the core temperature drops below 28°C (82.4°F).,"Hypothermia is a condition in which the body's core temperature drops to 35°C (95°F) or lower. It becomes life-threatening when the core temperature drops below 28°C (82.4°F). Hypothermia can occur due to exposure to cold, wet, and windy conditions, cold-water immersion, dehydration, or certain medications. It can lead to symptoms such as shivering, decreased physical function, lack of coordination, confusion, and unresponsiveness. It is important to take preventive measures such as wearing appropriate clothing, staying dry, consuming high-energy foods, and avoiding alcohol to prevent hypothermia.",151,"['141', '151']",0.8958461,0.41379309990751756,0.3300970841323405,0.41379309990751756,1
