,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_baseline,rouge_1_f1_baseline,rouge_2_f1_baseline,rouge_l_f1_baseline,page_match
30,What is the first aid under the Samaritan laws?,"A First Aider is required to use common sense and a reasonable level of skill, as well as provide only the type of emergency care that is within their training. They should act in the same manner as a 'reasonable and prudent person' would in the same situation.","The term ""Samaritan laws"" is not commonly used in first aid. However, if you are referring to providing first aid under Good Samaritan laws, these laws vary from state to state and country to country but generally protect individuals from liability when",16,0,0.4064025,0.109589036104335,0.0,0.109589036104335,0
31,Is it true that a person with a suspected stroke does not need medical attention if their signs and symptoms dissipate?,"No, it is not true. TIA signs and symptoms will disappear within a few hours, but the person still needs to be checked by a medical professional. TIAs are warning signs and are often quickly followed by strokes. Always call EMS/9-1-1 if the person has demonstrated signs and symptoms of a TIA or stroke, even if the signs and symptoms have lessened in severity or disappeared completely.","No, that is not true. If someone is suspected of having a stroke, it is crucial that they receive immediate medical attention, even if their signs and symptoms seem to dissipate. Transient ischemic attacks (TIAs) or ""mini-strokes",59,0,0.66217464,0.3855421638380026,0.12631578476675917,0.361445778295834,0
32,What are the international hazard symbols used for?,The international hazard symbols on product labels make it easier to identify harmful materials.,"International hazard symbols are used to communicate the presence of hazardous materials or dangerous conditions. They are typically used on containers, packaging, or signage to alert individuals to potential risks such as toxicity, flammability, corrosiveness, biohazards, and",160,0,0.756544,0.2173913001134216,0.040816322632236945,0.2173913001134216,0
33,What is the responsibility of every adult in Canada regarding child abuse or neglect?,"Every adult in Canada has a legal duty to report child abuse or neglect, even if it is not confirmed. If you are responding to a first aid emergency and you think a child is being harmed, then there needs to be a report to child protection and/or police. Even if you are unsure, child protection needs to be informed and needs to guide the next steps. Also share your concerns with the EMS personnel who respond to the situation.","Every adult in Canada has a legal responsibility to report any suspected child abuse or neglect to the appropriate child welfare authorities. This obligation is outlined in the Child, Youth and Family Services Act. Failure to report suspected child abuse or neglect could result in legal penalties",17,0,0.83881474,0.3370786469637672,0.17391303888998122,0.31460673685140766,0
34,Why don't you allow a woman to give birth?,Do not let the woman leave to use the restroom.,"I'm here to provide information and support, but I don't have the ability to allow or disallow anything, including a woman giving birth. Giving birth is a natural process that occurs because of biological factors and individual choices. If you have any questions",139,0,0.16012995,0.12765957137166148,0.0,0.0851063798822998,0
35,What precautions should I take when drinking alcohol?,Drink responsibly. Alcohol is often a factor in serious motor vehicle collisions and water injuries. Alcohol slows down your reflexes and gives you a false feeling of confidence.,"When drinking alcohol, it's important to take the following precautions:

1. Drink in moderation: Limit your alcohol consumption to reduce the risk of negative effects on your health and well-being.

2. Stay hydrated: Drink water in between alcoholic beverages to stay",114,0,0.4882229,0.199999995138889,0.0,0.199999995138889,0
36,How long is chickenpox contagious?,"Chickenpox is most contagious 1 to 2 days before the rash appears, and for approximately 5 days after onset, or until the lesions have become crusted.","Chickenpox is contagious until all the blisters have crusted over. This usually takes about 5 to 7 days after the rash first appears. It is important to avoid contact with people who have weakened immune systems, infants, pregnant women,",188,0,0.8597412,0.4067796561907498,0.09523809045099545,0.37288135110600407,0
37,When should you first care?,"You should provide care first in the following situations:
1. The person is choking or is experiencing anaphylaxis and carrying epinephrine.
2. The person has life-threatening bleeding.
3. The person is an unresponsive child or baby who is not breathing.","It's always important to prioritize self-care and well-being. You should start caring for yourself from a young age and continue to prioritize self-care throughout your life. Remember, taking care of yourself is essential for your overall health and happiness. If you're",33,0,0.3480308,0.15384614884733747,0.02702702203068025,0.15384614884733747,0
38,How quickly does it grow after infection?,"Croup develops more gradually, from 24 to 72 hours after infection.","The speed at which an infection spreads and grows can vary depending on the type of pathogen involved, the individual's immune response, and factors such as the site of infection and overall health of the person. In general, some infections may progress rapidly over",191,0,0.46677625,0.042553187904029274,0.0,0.042553187904029274,0
39,What determines the severity of an allergic reaction?,The severity of an allergic reaction depends on the person.,"The severity of an allergic reaction can be influenced by various factors, including the individual's immune system, the specific allergen involved, the route of exposure, and any underlying health conditions. 

For example, someone with a stronger immune response may experience more",84,0,0.7931997,0.29787233707559985,0.20408162965431073,0.29787233707559985,0
40,What are the common types of seizures?,"Common types of seizures include tonic-clonic or convulsive seizures, absence seizures, and focal or partial seizures.","There are several common types of seizures, including:

1. Generalized seizures: involve both sides of the brain. Examples include tonic-clonic seizures (previously known as grand mal seizures), absence seizures (previously known as petit mal seizures), and",134,0,0.85815513,0.3809523766780046,0.0869565173440456,0.3333333290589569,0
41,What is environmental illness?,The information provided does not include details about environmental illness.,"Environmental illness, also known as multiple chemical sensitivity (MCS) or sick building syndrome, is a chronic condition in which a person experiences a range of symptoms believed to be triggered by exposure to low levels of chemicals or irritants in the environment. These",157,0,0.21217218,0.0,0.0,0.0,0
42,What do you remember the first time you help someone with speech or language impairment?,"Ask questions that can be answered with 'Yes' or 'No', give the person time to communicate, and wait for the person to finish speaking.","I don't have personal memories or experiences, as I am a computer program here to assist you. However, I can provide information and resources related to speech and language impairments if you need help. Let me know if you have any specific questions or",43,0,0.1942839,0.1785714238839287,0.0,0.1785714238839287,0
43,What should you have to cover an injured eye?,Eye patches,"If you have an injured eye, you should cover it with a clean, sterile eye patch or gauze bandage. This can help protect the eye from further injury and also reduce the risk of infection. Make sure not to put pressure on the",12,0,0.6342532,0.0,0.0,0.0,0
44,How can you make your workplace clean and tidy?,"Make sure that your workplace is clean and tidy. Keep floors and aisles uncluttered and make sure that there is nothing blocking stairways, work sites, or exits.","Here are some tips to help you keep your workplace clean and tidy:

1. Declutter regularly: Remove unnecessary items from your workspace to avoid clutter and keep things organized.

2. Wipe down surfaces: Use disinfectant wipes or a damp cloth",114,0,0.6081936,0.17241378839476829,0.06249999523925818,0.17241378839476829,0
45,Do gloves eliminate the need for proper hygiene?,"No, wearing gloves helps to protect you from infection, but it does not eliminate the need for proper hygiene. First Aiders should always wash their hands thoroughly when they have finished giving care, even if they wore gloves the entire time.","No, gloves do not eliminate the need for proper hygiene. While gloves provide a barrier between your hands and potentially harmful substances, it is still important to practice good hygiene by washing your hands regularly, especially before and after using gloves. Proper handwashing is",23,0,0.78925663,0.31999999500088894,0.14634145841760873,0.29333332833422227,0
46,When do you want a person from face to face position?,"You should roll a person from a face-down to a face-up position if they are unresponsive, not breathing, or if the face-down position makes it impossible to check the person's ABCs.",I'm here to help you and support you whenever you need assistance. Just let me know how I can help you further.,32,0,0.0022899164,0.047619042721088946,0.0,0.047619042721088946,0
47,What are the common causes of shortness of breath?,"Some common causes of respiratory distress include hyperventilation, asthma or chronic obstructive pulmonary disease (COPD), pneumonia or bronchitis, allergic reactions, anaphylaxis, heart attack or heart failure, chest trauma, poisoning, drug overdose, electrocution, and certain mental health conditions.","Shortness of breath, also known as dyspnea, can be caused by a variety of factors. Some common causes include:

1. Respiratory conditions: Asthma, chronic obstructive pulmonary disease (COPD), pneumonia, and other respiratory",80,0,0.6244774,0.3384615334721894,0.17910447263978627,0.30769230270295866,0
48,When should I use hemostatic agents?,Hemostatic dressings are used in cases of life-threatening bleeding where standard first aid procedures fail or are not practical.,"Hemostatic agents are used to help control bleeding, typically in situations where more traditional methods like pressure or sutures are ineffective. You should consider using hemostatic agents in the following situations:

1. In cases of severe bleeding that cannot be",62,0,0.69991463,0.32727272286942155,0.07017543427516186,0.32727272286942155,0
49,Is first aid for both types of diabetes the same?,"Yes, first aid is the same for both types of diabetic emergencies (hyperglycemia and hypoglycemia).","First aid for diabetes can vary depending on the type of diabetes a person has. For Type 1 diabetes, first aid may involve administering glucose to help raise low blood sugar levels. For Type 2 diabetes, first aid may involve helping the person manage",132,0,0.640079,0.2083333290364584,0.03846153452662762,0.2083333290364584,0
50,What should you do if there is a chemical or caustic substance in the eye?,"If there is a chemical or caustic substance in the eye, gently flush the eye with running water (away from the unaffected eye) for at least 15 minutes, or until EMS personnel arrive.","If a chemical or caustic substance comes into contact with the eye, it is important to act quickly and take the following steps:

1. Immediately rinse the eye with lukewarm, clean water for at least 15 minutes. Hold your eyel",103,0,0.796289,0.4776119353530853,0.2816901358936719,0.44776118908442863,0
51,How can high blood pressure be controlled?,"High blood pressure can be controlled with exercise, diet control, stress reduction, and medication.","High blood pressure can be controlled through a combination of lifestyle changes and medication. Some strategies to help control high blood pressure include:

1. Adopting a healthy diet: Eating a diet that is low in salt, saturated fats, and cholesterol, and high",55,0,0.79760855,0.3673469346938775,0.2264150906372375,0.3673469346938775,0
52,How many breaths should you give?,Give 2 breaths.,"Typically, an adult at rest breathes in and out about 12 to 20 times per minute. It's important to breathe naturally and not focus too much on the exact number of breaths. If you are feeling short of breath or experiencing",67,0,0.5761018,0.04878048644854257,0.0,0.04878048644854257,0
53,What is a puncture wound?,"A puncture wound occurs when a hole in the skin is created by a pointed object, such as nails, pieces of glass, and animal teeth.","A puncture wound is a type of injury caused by a sharp object penetrating the skin, creating a small hole or entryway into the body. Common causes of puncture wounds include needles, nails, knives, or sharp objects. These wounds can be",92,0,0.8213173,0.35087718810710994,0.09374999531250022,0.24561403021237313,0
54,What should you do when considering second-hand equipment or toys?,"When considering second-hand equipment or toys, first check the label and contact Health Canada to find out if there has been a recall or safety alert on that specific model.","When considering second-hand equipment or toys, there are a few important things to keep in mind:

1. Safety: Ensure that the equipment or toys meet current safety standards. Check for any recalls, damages, missing parts, or signs of wear and tear",196,0,0.6041792,0.3880596965827579,0.14705881863754341,0.32835820404544447,0
55,Where is poison ivy found?,All provinces except Newfoundland and Labrador,"Poison ivy is commonly found in North America, particularly in wooded or overgrown areas, along roadsides, and in grassy fields. It can also be found in urban areas along fences, walls, and in gardens. Poison ivy tends",167,0,0.0096925385,0.05882352650519045,0.0,0.05882352650519045,0
56,What areas should you prioritize when conducting a hands-on check?,"When conducting a hands-on check, you should prioritize checking the head, chest, abdomen, and legs before checking the arms.","When conducting a hands-on check, it is important to prioritize the following areas:

1. Safety: Check for any potential safety hazards or risks in the area, such as exposed wiring, slippery floors, or loose objects.

2. Equipment and tools:",39,0,0.67276317,0.2962962919821674,0.1454545411834712,0.2962962919821674,0
57,What should you do after each compression?,Allow the chest to fully recoil.,"After each compression during CPR, it is important to allow the chest to fully recoil. This means letting the chest come back up to its natural position before starting the next compression. Providing adequate time for chest recoil enhances blood flow and improves the effectiveness of chest",66,0,0.7698993,0.23255813713358575,0.1599999982,0.23255813713358575,0
58,How should you care for full-thickness burns?,"Stop the burn from worsening by cooling the affected area with clean running or standing water for at least 10 minutes. Remove jewellery and clothing from the burn site. Cover the burn loosely with a dry, sterile dressing. Have the person lie down until EMS personnel arrive.","Caring for full-thickness burns is crucial to promote healing and prevent infection. Here are some steps to care for full-thickness burns:

1. Seek medical attention immediately: Full-thickness burns are severe and require medical treatment. Call emergency services or",97,0,0.58163303,0.08571428077959212,0.0,0.08571428077959212,0
59,How can fainting be prevented?,"To prevent fainting, it is important to stay hydrated, eat at regular intervals to maintain a consistent blood sugar level, and get up slowly from sitting or lying down.","Fainting, also known as syncope, can be caused by a variety of factors, such as dehydration, low blood sugar, standing up too quickly, or underlying medical conditions. Here are some tips that may help prevent fainting:

1. Stay",130,0,0.555005,0.153846148942012,0.0,0.153846148942012,0
60,What should you do if the AED fails to work properly or warning indicators appear?,"If the AED fails to work properly or warning indicators appear, you should take the AED out of service and contact the manufacturer or the appropriate person at your place of employment. You may need to return the AED to the manufacturer for service. If the AED stops working during an emergency, continue giving CPR until EMS personnel take over.","If the AED fails to work properly or shows warning indicators, you should immediately stop using it and follow these steps:

1. Ensure the electrodes are properly connected to the AED and placed on the person's bare chest as directed.

2. Check",78,0,0.7310784,0.3076923027449047,0.1914893568130377,0.3076923027449047,0
61,What are some mental health conditions that people may be suffering from?,"People in distress may be suffering from a number of mental health disorders including substance-related disorders, mood disorders, anxiety disorders, or psychotic disorders.","There are numerous mental health conditions that people may be suffering from, some common examples include:

1. Depression
2. Anxiety disorders (including generalized anxiety disorder, panic disorder, social anxiety disorder, etc.)
3. Bipolar disorder
4. Sch",136,0,0.77081794,0.2592592545953361,0.10526315315481707,0.18518518052126212,0
62,How can wearing helmets reduce the risk of head injuries?,Wearing helmets can reduce the risk of a serious or fatal head injury by up to 80%.,"Wearing helmets can reduce the risk of head injuries by providing a protective layer around the skull to absorb and distribute the impact of a blow or collision. Helmets are designed to cushion the head and protect the brain from serious injuries such as fractures, conc",200,0,0.7894332,0.49056603337842647,0.2295081928513841,0.3773584862086152,0
63,What can TIA do?,A TIA may be caused by a tumor or a clot in an artery in the brain.,"TIA, which stands for Thanks in Advance, is a common acronym used in written communication to express gratitude for future assistance or a favor. If you are asking about a specific product, service, or organization named TIA, please provide more context so",59,0,0.4301194,0.11764705467128042,0.0350877152600805,0.07843136839677069,0
64,What is hypothermia?,Hypothermia occurs when the body’s core temperature drops to 35°C (95°F) or lower. It becomes life-threatening when the core temperature drops below 28°C (82.4°F).,"Hypothermia is a medical emergency that occurs when a person's body loses heat faster than it can produce heat, resulting in a dangerously low body temperature. This can happen when a person is exposed to cold weather or cold water for an extended period",151,0,0.764174,0.21428570969387764,0.031746027301587924,0.21428570969387764,0
65,What should I do to reduce my child's fever?,"Sponge the child with room temperature water and give the child plenty of fluids to ensure that he or she stays hydrated. If the fever rises above 39°C (102°F) or persists for more than 3 days, seek medical attention. Give fever-reducing medications as discussed with the healthcare practitioner.","To help reduce your child's fever, you can try the following:

1. Give them a fever-reducing medication such as acetaminophen (Tylenol) or ibuprofen (Advil), following the recommended dosage based on your",193,0,0.5228847,0.14084506559016083,0.0,0.14084506559016083,0
66,What are the common causes of anaphylaxis?,"Common causes of anaphylaxis include insect stings, food, and medications.","Anaphylaxis is a severe allergic reaction that can be life-threatening. Common causes of anaphylaxis include:

1. Food allergies, most commonly triggered by peanuts, tree nuts, shellfish, fish, milk, eggs, and soy.
",86,0,0.7845238,0.23809523446712022,0.1499999965125001,0.23809523446712022,0
67,What should you do if someone else has to leave to make the call for you?,"If someone else has to leave to make the call for you, ask that person to come back and tell you what the EMS/9-1-1 dispatcher said. If using a mobile phone, the person can stay with you while placing the call and speaking to the dispatcher.","If someone else needs to leave to make a phone call for you, you can wait for them to return so they can help you. Alternatively, you can ask them to make the call on your behalf or assist you in making the call once they return",32,0,0.7291831,0.43749999500488285,0.20930232058409964,0.3749999950048829,0
68,How can you try to remove a foreign object from the eye?,"To try to remove a foreign object from the eye, have the person blink several times. The eye will produce tears that may wash out the object. An object that is not touching the eye itself (e.g., in the corner of the eye) may be removed with a moist cotton-tipped applicator. If these steps do not remove the object, the person should seek medical attention.","Here are some steps you can follow to try to remove a foreign object from the eye:

1. Wash your hands thoroughly with soap and water before touching your eye.
2. Rinse your eye with clean water or saline solution to help flush out the",103,0,0.84556293,0.2954545405810951,0.1481481433556243,0.2954545405810951,0
69,What can cause a TIA?,A TIA may be caused by a tumor or a clot in an artery in the brain.,"A transient ischemic attack (TIA) occurs when there is a temporary disruption in blood flow to the brain, resulting in stroke-like symptoms that typically last for a few minutes to a few hours. The underlying causes of a TIA are similar to",59,0,0.6352576,0.19999999580000008,0.0,0.15999999580000013,0
70,What are the symptoms of Prickly Heat?,"A rash of tiny, pinpoint blisters surrounded by blotches of pink skin. It occurs in hot weather or whenever a child or baby is overdressed.","Prickly heat, also known as heat rash, typically presents with the following symptoms:

1. Red bumps or small blisters
2. Itchy or prickly sensation on the skin
3. Mild swelling
4. In some cases,",185,0,0.58800393,0.1090909042247936,0.0,0.1090909042247936,0
71,What are the signs and symptoms of a blunt chest injury?,"The signs and symptoms of a blunt chest injury include pain, deformity or swelling, guarded shallow breathing, and bruising at the site.","Signs and symptoms of a blunt chest injury may include:

1. Chest pain
2. Difficulty breathing
3. Rapid or shallow breathing
4. Coughing up blood
5. Bruising or swelling on the chest
6. T",109,0,0.88929474,0.38461537980029586,0.2222222174691359,0.38461537980029586,0
72,How are wooden toys assembled?,Wooden toys should be glued or screwed together instead of nailed.,"Wooden toys are typically assembled using a combination of techniques, depending on the specific design and complexity of the toy. Here are some common methods for assembling wooden toys:

1. Step-by-step assembly: Wooden toy kits often come with detailed instructions that outline",198,0,0.62280273,0.12499999646701399,0.03921568312187646,0.12499999646701399,0
73,Where should medicine be kept?,Emergency medicine should be accessible at all times but out of the reach of children.,"Medicine should be kept in a cool, dry place away from direct sunlight and moisture. It is advisable to store medicine in a secure location, out of reach of children and pets. Some medicines may need to be stored in the refrigerator, so always",194,0,0.4129899,0.31372548621299506,0.14285713910714296,0.31372548621299506,0
